epoch,accuracy,loss,top5_accuracy,val_accuracy,val_loss,val_top5_accuracy
0,0.05859375,4.872122764587402,0.17407852411270142,0.0893397182226181,4.5830488204956055,0.25844255089759827
1,0.14235776662826538,4.262852668762207,0.34885817766189575,0.14768144488334656,4.237626075744629,0.35811492800712585
2,0.1981971114873886,3.9601616859436035,0.43392428755760193,0.19644656777381897,3.9711289405822754,0.4364919364452362
3,0.23651842772960663,3.7626595497131348,0.4892127513885498,0.15498991310596466,4.234388828277588,0.3707157373428345
4,0.26900041103363037,3.607602834701538,0.5307592153549194,0.21370968222618103,3.950033187866211,0.44317036867141724
5,0.29779648780822754,3.47243332862854,0.5669270753860474,0.23815524578094482,3.807528257369995,0.48324093222618103
6,0.32321715354919434,3.349106788635254,0.5987980961799622,0.27167338132858276,3.606447696685791,0.5338961482048035
7,0.3482572138309479,3.244677782058716,0.6250100135803223,0.2910786271095276,3.550654172897339,0.5490171313285828
8,0.37286660075187683,3.1410791873931885,0.6501001715660095,0.2821320593357086,3.604149580001831,0.5356602668762207
9,0.3973056972026825,3.039008378982544,0.677263617515564,0.2085433453321457,4.124589920043945,0.42905744910240173
10,0.41988182067871094,2.950181484222412,0.6974959969520569,0.29763105511665344,3.57180118560791,0.5477570295333862
11,0.4871193766593933,2.7085888385772705,0.7556290030479431,0.3675655126571655,3.2384860515594482,0.6214717626571655
12,0.5101763010025024,2.6269681453704834,0.7745693325996399,0.36995968222618103,3.2298030853271484,0.6219757795333862
13,0.5204827785491943,2.5926826000213623,0.7832732200622559,0.3680695593357086,3.230367422103882,0.6241179704666138
14,0.5269731283187866,2.5659940242767334,0.7880408763885498,0.36441531777381897,3.261624813079834,0.6184476017951965
15,0.5331730842590332,2.5438976287841797,0.793399453163147,0.3685735762119293,3.2286994457244873,0.6267641186714172
16,0.5409755706787109,2.5184082984924316,0.7985777258872986,0.3622731864452362,3.2561941146850586,0.6205897331237793
17,0.5474960207939148,2.4976565837860107,0.8038962483406067,0.3629032373428345,3.264495372772217,0.6169354915618896
18,0.5524138808250427,2.4788997173309326,0.8085236549377441,0.3692036271095276,3.2320191860198975,0.6255040168762207
19,0.5630408525466919,2.4464356899261475,0.8164863586425781,0.3731098771095276,3.2177629470825195,0.6297882795333862
20,0.5664463043212891,2.438946485519409,0.8182992935180664,0.37323588132858276,3.2185585498809814,0.6306703686714172
21,0.5667067170143127,2.4323394298553467,0.819531261920929,0.3731098771095276,3.218010425567627,0.6295362710952759
22,0.5684394836425781,2.4309253692626953,0.8198016881942749,0.37336188554763794,3.2174673080444336,0.6297882795333862
23,0.5680589079856873,2.4264297485351562,0.8197716474533081,0.37222781777381897,3.2189574241638184,0.6302923560142517
24,0.570152223110199,2.4238688945770264,0.8204126358032227,0.37323588132858276,3.216750383377075,0.6302923560142517
25,0.5699418783187866,2.4247772693634033,0.8201923370361328,0.3739919364452362,3.2180886268615723,0.6294102668762207
26,0.5704827904701233,2.421996831893921,0.8199719786643982,0.37235382199287415,3.2174227237701416,0.6300403475761414
27,0.5719150900840759,2.4171719551086426,0.8227964639663696,0.37386593222618103,3.217244863510132,0.6314263939857483
28,0.5734675526618958,2.4139716625213623,0.8228064775466919,0.3726058602333069,3.2174270153045654,0.6297882795333862
29,0.5738782286643982,2.414503574371338,0.8223056793212891,0.37285786867141724,3.2173569202423096,0.6304183602333069
30,0.5738882422447205,2.4118852615356445,0.8231069445610046,0.37235382199287415,3.2169315814971924,0.6305443644523621
